College Name,Location,Direct / Management Quota Deadline (2026),Centralized ACPC Deadline (2026),Official Admission Link
DA-IICT,Gandhinagar,"June 1, 2026","May 31, 2026",https://www.daiict.ac.in/undergraduate-admissions-gujarat-category
Nirma University,Ahmedabad,"May 24, 2026 (Closed)","May 31, 2026",https://technology.nirmauni.ac.in/admission-aid/under-graduate/b-tech/
PDEU,Gandhinagar,"May 21, 2026 (Closed)","May 31, 2026",https://pdeu.ac.in/admissions
Ahmedabad University (SEAS),Ahmedabad,"May 31, 2026 (Round 2)","May 31, 2026",https://ahduni.edu.in/admission/undergraduate-admission/admission-calendar
CHARUSAT,Changa,"May 31, 2026","May 31, 2026",https://admission.charusat.ac.in
Dharmsinh Desai University (DDU) *,Nadiad,Mid-June 2026 (Tentative),"May 31, 2026",https://www.ddu.ac.in/Admission2026-FoT.php
Parul University,Vadodara,"May 22, 2026 (Rolling till June)","May 31, 2026",https://www.paruluniversity.ac.in/program/btech-computer-science-and-engineering/
Marwadi University,Rajkot,Open through July 2026,"May 31, 2026",https://www.marwadiuniversity.ac.in/apply-online/
Silver Oak University,Ahmedabad,Open through July 2026,"May 31, 2026",https://admissions.silveroakuni.ac.in/
GCET (G H Patel College),V.V. Nagar,Mid-June 2026,"May 31, 2026",https://www.gcet.ac.in/admission_home.php
SCET (Sarvajanik College),Surat,Early June 2026,"May 31, 2026",https://www.scet.ac.in/pages/admission/
Indus University,Ahmedabad,Mid-June 2026,"May 31, 2026",https://indusuni.ac.in/admission/undergraduate.php
LJ University,Ahmedabad,Rolling through June 2026,"May 31, 2026",https://admissions.ljku.edu.in/
Ganpat University (GUNI),Mehsana,Rolling through June 2026,"May 31, 2026",https://www.ganpatuniversity.ac.in/admission/btech-admission
RK University,Rajkot,Open through Mid-June 2026,"May 31, 2026",https://admissions.rku.ac.in/
Navrachana University,Vadodara,Mid-June 2026,"May 31, 2026",https://nuv.ac.in/apply-online/
PP Savani University,Surat,Open through Mid-June 2026,"May 31, 2026",https://www.ppsu.ac.in/soe/
GSFC University,Vadodara,Mid-June 2026,"May 31, 2026",https://www.gsfcuniversity.ac.in/apply-for-admission
ADIT (A.D. Patel Institute),Anand,Mid-June 2026,"May 31, 2026",https://www.adit.ac.in/admission.php
